Date,Download,Upload,Name,Country,Sponsor,Latency
09/11/2021 08:15:10,8.63,0.73,Panama City,Panama,Liberty Technologies,149.016,
09/11/2021 08:16:07,11.1,0.71,Panama City,Panama,Liberty Technologies,141.117,
09/11/2021 08:16:55,14.04,0.78,Panama City,Panama,OVNICOM,143.438,
09/11/2021 08:17:45,13.29,0.73,Panama City,Panama,Liberty Technologies,143.024,
09/11/2021 08:18:34,10.59,0.43,Panama City,Panama,Liberty Technologies,145.71,
09/11/2021 09:41:17,8.08,0.6,Babahoyo,Ecuador,Highnet,155.624,
09/11/2021 09:42:26,13.6,0.55,Vinces,Ecuador,ANTEL (ARTIANEXOS S.A.),146.528,
09/11/2021 09:43:15,14.0,0.67,Babahoyo,Ecuador,Highnet,149.225,
09/11/2021 09:44:02,13.7,0.57,Vinces,Ecuador,Highnet,151.995,
09/11/2021 09:44:52,19.96,0.51,Vinces,Ecuador,Highnet,153.249,
09/11/2021 10:15:49,12.73,0.53,Babahoyo,Ecuador,Nedetel,147.156,
09/11/2021 10:16:46,9.17,0.46,Guayaquil,Ecuador,APCOM,155.067,
09/11/2021 10:17:40,9.45,0.32,Guayaquil,Ecuador,APCOM,149.307,
09/11/2021 10:18:58,8.59,0.29,Babahoyo,Ecuador,Nedetel,145.95,
09/11/2021 10:20:29,14.94,0.49,Guayaquil,Ecuador,Nedetel,150.086,
09/11/2021 10:51:25,10.66,0.58,Babahoyo,Ecuador,Nedetel,153.339,
09/11/2021 10:52:22,7.31,0.51,Babahoyo,Ecuador,NetCOM (La Unión),152.526,
09/11/2021 10:53:15,8.86,0.53,Guayaquil,Ecuador,Nedetel,152.727,
09/11/2021 10:54:07,13.51,0.53,Babahoyo,Ecuador,NetCOM (La Unión),154.207,
09/11/2021 10:54:58,6.33,0.64,Babahoyo,Ecuador,Rimtel,157.107,
09/11/2021 14:23:53,9.29,0.54,Puebloviejo,Ecuador,Rimtel,163.551,
09/11/2021 14:32:38,8.63,1.04,Babahoyo,Ecuador,Rimtel,149.291,
09/11/2021 14:33:30,7.72,1.02,Babahoyo,Ecuador,Nedetel,153.124,
09/11/2021 14:34:14,9.45,0.82,Vinces,Ecuador,Highnet,158.242,
09/11/2021 14:35:05,9.79,0.71,Guayaquil,Ecuador,ANTEL (ARTIANEXOS S.A.),154.148,
09/11/2021 14:35:55,4.42,1.0,Babahoyo,Ecuador,Highnet,154.516,
09/11/2021 15:06:47,12.44,0.58,Vinces,Ecuador,ANTEL (ARTIANEXOS S.A.),145.946,
09/11/2021 15:07:43,4.94,0.6,Guayaquil,Ecuador,ANTEL (ARTIANEXOS S.A.),148.874,
09/11/2021 15:08:31,16.91,0.76,Vinces,Ecuador,Nedetel,150.927,
09/11/2021 15:09:16,3.8,0.58,Babahoyo,Ecuador,Rimtel,155.606,
09/11/2021 15:10:14,11.4,0.58,Guayaquil,Ecuador,Nedetel,146.772,
09/11/2021 15:41:04,12.04,1.16,Guayaquil,Ecuador,ANTEL (ARTIANEXOS S.A.),144.67,
09/11/2021 15:41:51,11.91,0.91,Vinces,Ecuador,Rimtel,143.785,
09/11/2021 15:42:35,10.34,0.96,Vinces,Ecuador,Nedetel,149.086,
09/11/2021 15:43:21,9.18,0.91,Guayaquil,Ecuador,Nedetel,145.103,
09/11/2021 15:44:04,12.02,0.85,Guayaquil,Ecuador,ANTEL (ARTIANEXOS S.A.),152.828,
09/11/2021 16:14:50,3.89,0.55,Vinces,Ecuador,NetCOM (La Unión),157.847,
09/11/2021 16:15:45,3.85,0.62,Vinces,Ecuador,Highnet,155.526,
09/11/2021 16:16:33,10.37,0.51,Vinces,Ecuador,Rimtel,154.974,
09/11/2021 16:17:25,4.91,0.48,Babahoyo,Ecuador,Highnet,162.419,
09/11/2021 16:18:23,4.53,0.55,Babahoyo,Ecuador,Rimtel,147.257,
09/11/2021 16:49:14,7.97,0.57,Babahoyo,Ecuador,RIOSANET.SA,162.364,
09/11/2021 16:50:11,9.9,0.98,Babahoyo,Ecuador,Highnet,146.973,
09/11/2021 16:50:56,12.16,0.68,Babahoyo,Ecuador,Highnet,151.223,
09/11/2021 16:51:48,4.11,0.74,Babahoyo,Ecuador,Rimtel,153.322,
09/11/2021 16:52:35,7.33,0.76,Vinces,Ecuador,Highnet,157.543,
10/11/2021 10:57:50,14.35,1.06,Popayan,Colombia,WINTERWOOD S.A.S,81.483,
10/11/2021 10:58:36,14.9,0.62,San Agustin,Colombia,Enter Telecomunicaciones,48.83,
10/11/2021 10:59:13,17.53,0.72,Popayan,Colombia,EMTEL S.A. E.S.P,58.466,
10/11/2021 10:59:48,17.67,0.73,Cali,Colombia,ERT,78.64,
10/11/2021 11:00:28,12.6,0.99,Cali,Colombia,ERT,67.992,
10/11/2021 11:19:10,12.31,0.34,Ibagué,Colombia,EMTEL S.A. E.S.P,66.706,
10/11/2021 11:27:10,19.24,0.54,Popayan,Colombia,ERT,54.161,
10/11/2021 11:31:03,8.66,0.96,Ibagué,Colombia,ERT,59.593,
10/11/2021 11:34:09,15.34,0.85,Ibagué,Colombia,ERT,53.354,
10/11/2021 11:35:30,6.09,0.95,Cali,Colombia,EMTEL S.A. E.S.P,55.876,
10/11/2021 11:36:05,7.1,0.95,Cali,Colombia,Enter Telecomunicaciones,977.594,
10/11/2021 11:37:39,9.13,0.96,San Agustin,Colombia,EMTEL S.A. E.S.P,52.845,
10/11/2021 12:08:15,17.97,1.02,Popayan,Colombia,ERT,84.922,
10/11/2021 12:08:54,11.78,1.05,Popayan,Colombia,ERT,64.934,
10/11/2021 12:09:27,20.05,0.83,Cali,Colombia,EMTEL S.A. E.S.P,51.989,
10/11/2021 12:10:02,22.78,0.8,San Agustin,Colombia,ERT,80.646,
10/11/2021 12:10:42,21.33,0.46,Ibagué,Colombia,Enter Telecomunicaciones,48.963,
10/11/2021 12:41:34,21.1,1.05,Cali,Colombia,ERT,49.948,
10/11/2021 12:42:37,24.21,1.28,Cali,Colombia,EMTEL S.A. E.S.P,56.778,
10/11/2021 12:43:11,15.49,1.2,Popayan,Colombia,EMTEL S.A. E.S.P,51.622,
10/11/2021 12:43:43,24.18,1.3,Popayan,Colombia,EMTEL S.A. E.S.P,55.05,
